question,option_a,option_b,option_c,option_d,correct_answer,explanation,evidence,page_number,chunk_id,difficulty,bloom_level
Độ ẩm tương đối được đo bằng cách nào?,Số gam hơi nước trong một mét khối không khí,Phần trăm của lượng tối đa hơi nước có thể chứa được ở cùng nhiệt độ,Lượng mưa trung bình năm,Kích thước hạt nước,B,"Theo đoạn văn, độ ẩm tương đối đo bằng phần trăm của lượng tối đa hơi nước có thể chứa được ở cùng nhiệt độ.",Độ ẩm tương đối đo bằng phần trăm của lượng tối đa hơi nước có thể chứa được ở cùng nhiệt độ.,158,page_158_01,easy,remember
Đới khí hậu nào có lượng nhiệt cao quanh năm và nhận được nhiều ánh sáng từ Mặt Trời?,Đới ẩm,Đới lạnh,Đới ôn hòa,Đới nóng (hay nhiệt đới),D,"Đáp án C đúng vì theo CONTEXT: 'Đới nóng (hay nhiệt đới) là nơi có lượng nhiệt cao, quanh năm nóng.'","Đới nóng (hay nhiệt đới) là nơi có lượng nhiệt cao, quanh năm nóng.",159,page_159_01,easy,remember
Gió thường xuyên thổi ở khu vực Đới ôn hòa là gì?,Gió Tây ôn đới,Gió Nam,Gió Đông Bắc,Gió Tín phong,A,Đáp án C đúng vì theo CONTEXT: 'Gió thường xuyên thổi ở khu vực này là gió Tây ôn đới.',Gió thường xuyên thổi ở khu vực này là gió Tây ôn đới.,159,page_159_01,medium,remember
Lượng mưa trung bình năm trong Đới nóng (hay nhiệt đới) nằm trong khoảng bao nhiêu?,100-500 mm,500-1000 mm,1000-2000 mm,2000-3000 mm,C,Đáp án C đúng vì theo CONTEXT: 'Lượng mưa trung bình năm đạt từ 1 000 mm đến 2 000 mm.',Lượng mưa trung bình năm đạt từ 1 000 mm đến 2 000 mm.,159,page_159_01,hard,apply
"Nếu mực nước biển dâng 1 mét, diện tích của bao nhiêu tỉnh/thành phố ở Việt Nam có nguy cơ bị ngập?",Vùng Đồng bằng sông Hồng và Quảng Ninh,Tất cả các tỉnh/thành phố ven biển,Đồng bằng sông Cửu Long,Thành phố Hồ Chí Minh,C,"Đoạn văn nêu rõ 'nếu mực nước biển dâng 1 m, sẽ có khoảng 39 % diện tích Đồng bằng sông Cửu Long, trên 10 % diện tích vùng Đồng bằng sông Hồng và Quảng Ninh...'.","Nếu mực nước biển dâng 1 m, sẽ có khoảng 39 % diện tích Đồng bằng sông Cửu Long, trên 10 % diện tích vùng Đồng bằng sông Hồng và Quảng Ninh, trên 2,5 % diện tích thuộc các tỉnh ven biển miền Trung và trên 20 % diện tích Thành phố Hồ Chí Minh của nước ta có nguy cơ bị ngập.",161,page_161_01,medium,apply
Biến đổi khí hậu là những thay đổi nào của khí hậu vượt ra khỏi trạng thái trung bình đã được duy trì trong một khoảng thời gian dài?,Nhiệt độ và lượng mưa,Gió và nhiệt độ,Nước biển dâng,Lượng mưa và gió,A,"Đoạn văn nêu rõ 'Biến đổi khí hậu là những thay đổi của khí hậu (nhiệt độ, lượng mưa,...) vượt ra khỏi trạng thái trung bình đã được duy trì trong một khoảng thời gian dài'.","Biến đổi khí hậu là những thay đổi của khí hậu (nhiệt độ, lượng mưa,...) vượt ra khỏi trạng thái trung bình đã được duy trì trong một khoảng thời gian dài, thường là vài thập kỉ hoặc dài hơn.",161,page_161_01,easy,remember
"Để phòng tránh thiên tai hiệu quả, theo CONTEXT, chúng ta cần phải thực hiện biện pháp nào sau đây?",Giảm thiểu sử dụng nhựa trong sinh hoạt hàng ngày,Trồng cây xanh ở khu dân cư,Tăng cường xây dựng nhà cửa kiên cố,Theo dõi bản tin dự báo thời tiết hằng ngày,D,"Theo CONTEXT, theo dõi bản tin dự báo thời tiết hằng ngày là một biện pháp phòng ngừa thiên tai.","Để phòng tránh thiên tai có hiệu quả, chúng ta cần có các biện pháp phòng ngừa, ứng phó và khắc phục hậu quả như: theo dõi bản tin dự báo thời tiết hằng ngày, diễn tập phòng tránh thiên tai, sơ tán kịp thời người và tài sản ra khỏi vùng nguy hiểm, tổ chức lại sản xuất và thay đổi thời vụ để giảm thiểu thiệt hại nếu thiên tai xảy ra,...",162,page_162_01,easy,remember
Ứng phó với biến đổi khí hậu yêu cầu con người phải thay đổi lối sống như thế nào?,Sơ tán người dân ra khỏi vùng nguy hiểm,Giảm thiểu chất thải và tiết kiệm điện,Tăng cường sử dụng năng lượng tái tạo,Thay đổi thời vụ sản xuất nông nghiệp,B,"Theo CONTEXT, ứng phó với biến đổi khí hậu bao gồm việc thay đổi lối sống để thân thiện với môi trường như: tiết kiệm điện, giảm thiểu chất thải, trồng cây xanh ở khu dân cư và trồng rừng,...","Ứng phó với biến đổi khí hậu là hoạt động của con người nhằm thích ứng và giảm nhẹ biến đổi khí hậu. Trong đó, con người cần phải thay đổi lối sống để thân thiện với môi trường như: tiết kiệm điện, giảm thiểu chất thải, trồng cây xanh ở khu dân cư và trồng rừng,...",162,page_162_01,medium,understand
"Theo CONTEXT, biện pháp nào sau đây không phải là một giải pháp để phòng tránh thiên tai?",Giảm thiểu sử dụng nhựa trong sinh hoạt hàng ngày,Thay đổi thời vụ sản xuất nông nghiệp,Diễn tập phòng tránh thiên tai,Tăng cường xây dựng nhà cửa kiên cố,A,"Theo CONTEXT, các biện pháp phòng tránh thiên tai bao gồm theo dõi bản tin dự báo thời tiết hằng ngày, diễn tập phòng tránh thiên tai, sơ tán kịp thời người và tài sản ra khỏi vùng nguy hiểm, tổ chức lại sản xuất và thay đổi thời vụ để giảm thiểu thiệt hại.","Để phòng tránh thiên tai có hiệu quả, chúng ta cần có các biện pháp phòng ngừa, ứng phó và khắc phục hậu quả như: theo dõi bản tin dự báo thời tiết hằng ngày, diễn tập phòng tránh thiên tai, sơ tán kịp thời người và tài sản ra khỏi vùng nguy hiểm, tổ chức lại sản xuất và thay đổi thời vụ để giảm thiểu thiệt hại nếu thiên tai xảy ra,...",162,page_162_01,hard,analyze
"Theo biểu đồ nhiệt độ – lượng mưa, địa điểm Pa-lec-mô có chế độ nhiệt như thế nào?",Nhiệt độ cao quanh năm,Nhiệt độ thấp quanh năm,Nhiệt độ không có biến thiên,Nhiệt độ thay đổi rõ rệt giữa mùa hè và mùa đông,D,Biểu đồ nhiệt độ – lượng mưa của Pa-lec-mô cho thấy nhiệt độ thay đổi rõ rệt giữa mùa hè và mùa đông.,Hình 16.2. Biểu đồ nhiệt độ – lượng mưa của ba địa điểm thuộc ba đới khí hậu khác nhau ở bán cầu Bắc,164,page_164_01,medium,understand
"Theo biểu đồ, đới khí hậu mà địa điểm Hà Nội có thể thuộc là?",Đới cực,Đới cận nhiệt đới,Đới nhiệt đới,Đới ôn đới,D,"Biểu đồ nhiệt độ – lượng mưa của Hà Nội cho thấy có mùa đông và mùa hè rõ rệt, phù hợp với đới ôn đới.",Hình 16.2. Biểu đồ nhiệt độ – lượng mưa của ba địa điểm thuộc ba đới khí hậu khác nhau ở bán cầu Bắc,164,page_164_01,medium,apply
"Theo biểu đồ, đới khí hậu mà địa điểm Hon-man có thể thuộc là?",Đới lạnh quanh năm,Đới ôn đới,Đới nhiệt đới,Đới cận nhiệt đới,A,"Biểu đồ nhiệt độ – lượng mưa của Hon-man cho thấy nhiệt độ thấp quanh năm, phù hợp với đới lạnh quanh năm.",Hình 16.2. Biểu đồ nhiệt độ – lượng mưa của ba địa điểm thuộc ba đới khí hậu khác nhau ở bán cầu Bắc,164,page_164_01,medium,apply
"Theo biểu đồ, mùa nào ở Pa-lec-mô có lượng mưa nhiều nhất?",Mùa đông,Mùa xuân,Mùa thu,Mùa hè,D,Biểu đồ nhiệt độ – lượng mưa của Pa-lec-mô cho thấy mùa hè có lượng mưa nhiều nhất.,Hình 16.2. Biểu đồ nhiệt độ – lượng mưa của ba địa điểm thuộc ba đới khí hậu khác nhau ở bán cầu Bắc,164,page_164_01,easy,remember
Nước trên Trái Đất bao gồm các trạng thái nào?,"Lỏng, hơi","Rắn, hơi","Lỏng, rắn, hơi","Lỏng, rắn",C,"Theo CONTEXT: 'Thuỷ quyền là toàn bộ nước trên Trái Đất, bao gồm nước ở các trạng thái lỏng, rắn và hơi.'","Thuỷ quyền là toàn bộ nước trên Trái Đất, bao gồm nước ở các trạng thái lỏng, rắn và hơi.",165,page_165_01,easy,remember
Nước chiếm tỷ lệ bao nhiêu trong thuỷ quyền?,97.2%,28%,2.8%,50%,A,"Theo CONTEXT: 'Nước trên Trái Đất không chỉ được chứa trong các biển, đại dương, trong sông, hồ và băng hà; mà còn một lượng nước được chứa trong khí quyển, trong sinh vật, trong các lỗ hổng của đất, các lỗ hổng và khe nứt của đá. Nước trên Trái Đất phân bố không đều, các biển và đại dương chiếm khoảng 97,2 % lượng nước của thuỷ quyền.'","các biển và đại dương chiếm khoảng 97,2 % lượng nước của thuỷ quyền.",165,page_165_01,medium,remember
Lượng nước ngọt trên Trái Đất chiếm tỷ lệ bao nhiêu?,97.2%,28%,50%,2.8%,D,"Theo CONTEXT: 'Lượng nước ngọt chiếm tỉ lệ rất ít (khoảng 2,8 %) và phân bố không đều trên lục địa nhưng có vai trò hết sức quan trọng.'","Lượng nước ngọt chiếm tỉ lệ rất ít (khoảng 2,8 %) và phân bố không đều trên lục địa.",165,page_165_01,medium,remember
Nước trên Trái Đất được chứa ở đâu?,Trong khí quyển,"Trong các biển, đại dương",Tất cả những nơi kể trên,Trong sinh vật và đất,C,"Theo CONTEXT: 'Nước trên Trái Đất không chỉ được chứa trong các biển, đại dương, trong sông, hồ và băng hà; mà còn một lượng nước được chứa trong khí quyển, trong sinh vật, trong các lỗ hổng của đất, các lỗ hổng và khe nứt của đá.'","Nước trên Trái Đất không chỉ được chứa trong các biển, đại dương, trong sông, hồ và băng hà; mà còn một lượng nước được chứa trong khí quyển, trong sinh vật, trong các lỗ hổng của đất, các lỗ hổng và khe nứt của đá.",165,page_165_01,hard,remember
"Theo thông tin trong CONTEXT, nguồn cung cấp hơi nước chủ yếu cho vòng tuần hoàn nước trên Trái Đất là?",Biển cả,Nước dưới đất,Sông và hồ,Đại dương,D,CONTEXT nêu rõ 'Đại dương thế giới là nguồn cung cấp hơi nước chủ yếu cho vòng tuần hoàn này.',Đại dương thế giới là nguồn cung cấp hơi nước chủ yếu cho vòng tuần hoàn này.,166,page_166_01,easy,remember
Điểm bắt đầu của dòng chảy trong một sông lớn được gọi là gì?,Phụ lưu,Cửa sông,Chi lưu,Nguồn,D,Theo đoạn văn: 'Nơi dòng chảy bắt đầu được gọi là nguồn của dòng sông.',Nơi dòng chảy bắt đầu được gọi là nguồn của dòng sông.,167,page_167_01,easy,remember
Các sông lớn thường có đặc điểm gì về các phụ lưu?,Chỉ có một phụ lưu,Không có phụ lưu,Có ít phụ lưu,Có nhiều phụ lưu,D,Theo đoạn văn: 'Các sông lớn đều có các phụ lưu và vùng gần cửa sông thường có các chi lưu.',Các sông lớn đều có các phụ lưu và vùng gần cửa sông thường có các chi lưu.,167,page_167_01,medium,remember
Tại sao lại có các ốc đào xanh tươi giữa hoang mạc?,Vì nước mưa rải đều,Băng hà tan chảy,Do sông chảy qua,Nước ngầm cung cấp,D,Theo đoạn văn: 'Đã bao giờ em tự hỏi: Sông bắt nguồn từ đâu? Sông lấy nước từ đâu? Nước trong sông có bao giờ khô cạn? Tại sao lại có các ốc đào xanh tươi giữa hoang mạc?...',Tại sao lại có các ốc đào xanh tươi giữa hoang mạc?,167,page_167_01,hard,analyze
Hệ thống sông nào được liệt kê trong CONTEXT?,Hệ thống sông Chao Phraya,Hệ thống sông Hồng,Hệ thống sông Mê Kông,Hệ thống sông Mekong,B,"CONTEXT đề cập đến hệ thống sông Hồng, Thái Bình và Đồng Nai.","Ở Việt Nam có nhiều hệ thống sông như: hệ thống sông Hồng, hệ thống sông Thái Bình, hệ thống sông Đồng Nai,...",168,page_168_01,easy,remember
Chế độ nước sông được xác định dựa trên yếu tố nào?,Lưu lượng dòng chảy,Đường chia nước,Thời tiết,Nguồn cung cấp nước,D,Chế độ nước sông phụ thuộc vào nguồn cung cấp nước.,"Tuỳ theo nguồn cấp nước mà mùa lũ ở các sông khác nhau. Phần lớn các sông có nguồn cung cấp nước là mưa, đây thường là những sông lớn, chế độ nước rất rõ rệt, mùa mưa cũng là mùa lũ của sông.",168,page_168_01,medium,understand
Lũ trong các dòng sông có thể gây ra hậu quả gì?,Giảm nguy cơ sạt lở đất,Tăng cường giao thông thủy,Cải thiện chất lượng nước,Gây nguy hiểm cho người và thiệt hại về tài sản,D,Lũ thường gây nguy hiểm cho người và thiệt hại về tài sản.,Lũ thường gây nguy hiểm cho người và thiệt hại về tài sản.,168,page_168_01,easy,remember
"Sông, hồ có giá trị to lớn như thế nào?",Cung cấp năng lượng cho các nhà máy thủy điện,Chỉ là nguồn nước,Đảm bảo giao thông thuận lợi,Nguồn nước cung cấp và nhiều giá trị khác,D,"Sông, hồ có một số giá trị to lớn sau: – Sông, hồ trước hết là nguồn nước cung cấp cho các nhu cầu sản xuất và sinh hoạt. – Sông, hồ còn là nơi sinh sống của nhiều loài động vật, thực vật thuỷ sinh. Vì thế, nhiều sông, hồ thu hút dân cư làm nghề đánh bắt cá và nuôi thuỷ sản. – Các sông, hồ còn là đường giao thông thuỷ quan trọng.","Sông, hồ có một số giá trị to lớn sau: – Sông, hồ trước hết là nguồn nước cung cấp cho các nhu cầu sản xuất và sinh hoạt. – Sông, hồ còn là nơi sinh sống của nhiều loài động vật, thực vật thuỷ sinh. Vì thế, nhiều sông, hồ thu hút dân cư làm nghề đánh bắt cá và nuôi thuỷ sản. – Các sông, hồ còn là đường giao thông thuỷ quan trọng.",168,page_168_01,hard,apply
Đường chia nước (đường phân thuỷ) ở miền núi thường được hình thành theo đường nối các phần nào?,Núi cao,Đỉnh núi với nhau,Địa điểm thấp,Khu vực trũng,B,Đường chia nước ở miền núi thường là đường nối các đỉnh núi với nhau.,"Đường chia nước (đường phân thuỷ) là đường phân chia các lưu vực của các hệ thống sông. Ở miền núi, đường chia nước thường là đường nối các đỉnh núi với nhau.",168,page_168_02,medium,understand
Lưu lượng tại một địa điểm trên dòng sông được định nghĩa như thế nào?,Độ sâu của lòng sông,Khoảng cách từ nguồn,Số lượng cá,Lượng nước chảy qua mặt cắt ngang trong một giây,D,"Lưu lượng tại một địa điểm là lượng nước chảy qua mặt cắt ngang của lòng sông qua địa điểm đó trong một giây, tính bằng mét khối trên giây (m³/s).","Lưu lượng là một thước đo về dòng chảy. Lưu lượng tại một địa điểm là lượng nước chảy qua mặt cắt ngang của lòng sông qua địa điểm đó trong một giây, tính bằng mét khối trên giây (m³/s).",168,page_168_02,easy,remember
Hồ có thể được hình thành từ những nguồn gốc nào?,"Nguồn kiến tạo, khúc sông bị sót lại và miệng núi lửa",Lưu lượng,Khu vực trũng,Đường chia nước,A,"Hồ có nhiều nguồn gốc hình thành khác nhau: có nguồn gốc kiến tạo, có nguồn gốc là khúc sông bị sót lại, có nguồn gốc là miệng núi lửa,... Hồ còn có nguồn gốc nhân tạo như các hồ thuỷ lợi, các hồ thuỷ điện.","Hồ có nhiều nguồn gốc hình thành khác nhau: có nguồn gốc kiến tạo, có nguồn gốc là khúc sông bị sót lại, có nguồn gốc là miệng núi lửa,...",168,page_168_02,medium,remember
Mùa lũ của sông thường làm tăng lưu lượng nước gấp bao nhiêu lần so với mùa cạn?,30-40 lần,10-30 lần,1-2 lần,5-10 lần,B,"Ở nhiều dòng sông vùng nhiệt đới, lưu lượng nước mùa lũ lớn gấp hàng chục lần so với mùa cạn.","Ở nhiều dòng sông vùng nhiệt đới, lưu lượng nước mùa lũ lớn gấp hàng chục lần so với mùa cạn.",168,page_168_02,hard,analyze
Nước ngầm được giữ lại trong các lỗ hổng của đất và khe nứt đá ở đâu?,Tầng bề mặt,Tầng chứa nước,Tầng không thấm nước,Tầng ngầm sâu,B,"Theo văn bản, 'Nước ngầm được giữ lại trong các lỗ hổng của đất, các lỗ hổng và khe nứt của đá, gọi là nước ngầm.'","Nước ngầm được giữ lại trong các lỗ hổng của đất, các lỗ hổng và khe nứt của đá, gọi là **nước ngầm**.",169,page_169_01,easy,remember
"Tại sao cần phải sử dụng tiết kiệm và bảo vệ chất lượng nước sông, hồ?",Để tăng cường du lịch,Để cung cấp nước cho nông nghiệp,Để phát triển thủy điện,Để ngăn ngừa ô nhiễm,D,"Văn bản đề cập đến việc 'cần phải sử dụng tiết kiệm và bảo vệ chất lượng nước sông, hồ' để không làm ô nhiễm nguồn nước.","- Tại sao cần phải sử dụng tiết kiệm và bảo vệ chất lượng nước sông, hồ?",169,page_169_01,medium,understand
Nước ngầm ở vùng khô hạn được khai thác như nguồn nước tưới để làm gì?,Tạo ra du lịch,Xây dựng thủy điện,Phát triển nông nghiệp,Khai thác khoáng sản,C,"Văn bản nêu rõ 'Ở các vùng khô hạn, con người khai thác nước ngầm thành nguồn nước tưới, biến các hoang mạc thành những vùng nông nghiệp trù phú.'","Ở các vùng khô hạn, con người khai thác nước ngầm thành nguồn nước tưới, biến các hoang mạc thành những vùng nông nghiệp trù phú.",169,page_169_01,hard,analyze
Băng băng đóng vai trò quan trọng như thế nào trong việc cung cấp nước ngọt trên thế giới?,Đóng góp ít hơn so với các hồ,Là nguồn nước ngọt chính cho các dòng sông lớn,Giữ khoảng 70% lượng nước ngọt trên thế giới,Cung cấp khoảng 30% lượng nước ngọt,C,"Băng băng giữ khoảng 70 % lượng nước ngọt trên thế giới, vì vậy nó đóng vai trò quan trọng trong việc cung cấp nước ngọt.","Băng băng giữ khoảng 70 % lượng nước ngọt trên thế giới. Vì thế, trong điều kiện nước ngọt ngày càng khan hiếm, người ta có thể tính đến việc kéo các băng sơn vào gần bờ để sử dụng như là nguồn nước ngọt sạch.",170,page_170_01,medium,understand
"Tại sao nói rằng ở vùng khí hậu nhiệt đới, chế độ nước sông phụ thuộc vào chế độ mưa?",Vì lượng mưa quyết định mức nước trong các sông,Vì nhiệt độ cao làm tan băng,Do ảnh hưởng của gió mùa,Vì nước sông chủ yếu từ các dòng suối,A,"Ở vùng khí hậu nhiệt đới, chế độ nước sông phụ thuộc vào chế độ mưa vì lượng mưa quyết định mức nước trong các sông.","Tại sao nói: Ở vùng khí hậu nhiệt đới, chế độ nước sông phụ thuộc vào chế độ mưa?",170,page_170_01,medium,understand
Ví dụ về việc sử dụng kết hợp nước sông và hồ ở Việt Nam là gì?,Sử dụng nước sông để tưới tiêu,Hệ thống thủy lợi kết hợp giữa các sông và hồ,Dùng nước hồ để nuôi trồng thủy sản,Tận dụng nước mưa từ các hồ,B,"Việc sử dụng kết hợp nước sông, hồ ở Việt Nam thường thấy trong hệ thống thủy lợi.","Hãy lấy ví dụ để thấy được việc sử dụng kết hợp nước sông, hồ ở nước ta.",170,page_170_01,easy,apply
"Theo đoạn văn, tại sao các tàu viễn dương có thể đi vòng quanh thế giới?",Vì có nhiều dòng hải lưu thuận lợi,Vì đại dương chiếm một phần lớn diện tích Trái Đất,Vì các nhà khoa học đã khám phá ra Nam Băng Dương,Vì nhiệt độ ở vùng biển ôn đới và nhiệt đới khác biệt,B,Đoạn văn nêu: 'Nhờ thế mà các tàu viễn dương có thể đi vòng quanh thế giới.',Nhờ thế mà các tàu viễn dương có thể đi vòng quanh thế giới.,171,page_171_01,medium,understand
"Theo đoạn văn, từ năm 2000, Nam Băng Dương được thừa nhận là một phần của đại dương nào?",Thái Bình Dương,Đại Tây Dương,Nam Cực,Ấn Độ Dương,A,"Đoạn văn nêu: 'Nam Băng Dương, thực ra là một bộ phận ở phía nam khoảng vĩ tuyến 60°S của Thái Bình Dương, Đại Tây Dương và Ấn Độ Dương; là một vùng nước lạnh bao quanh châu Nam Cực.'","Nam Băng Dương, thực ra là một bộ phận ở phía nam khoảng vĩ tuyến 60°S của Thái Bình Dương, Đại Tây Dương và Ấn Độ Dương; là một vùng nước lạnh bao quanh châu Nam Cực.",171,page_171_01,hard,analyze
"Theo đoạn văn, tại sao con người đang vươn ra đại dương?",Do khoa học kỹ thuật phát triển,Vì muốn trải nghiệm lênh đênh trên biển,Để khám phá các nguồn tài nguyên trong đất liền,"Để tìm hiểu về hiện tượng sóng, thuỷ triều và dòng hải lưu",A,"Đoạn văn nêu: 'Khi khoa học kỹ thuật ngày càng phát triển, các nguồn tài nguyên trong đất liền đã được con người khai thác ngày càng cạn kiệt, con người đang từng bước vươn ra đại dương, khám phá đại dương và khai thác các nguồn tài nguyên của đại dương.'","Khi khoa học kỹ thuật ngày càng phát triển, các nguồn tài nguyên trong đất liền đã được con người khai thác ngày càng cạn kiệt, con người đang từng bước vươn ra đại dương, khám phá đại dương và khai thác các nguồn tài nguyên của đại dương.",171,page_171_01,medium,apply
Nhiệt độ của lớp nước trên mặt biển thay đổi theo vĩ độ như thế nào?,Tăng dần khi lên vĩ độ cao,Giảm dần khi lên vĩ độ cao,Thay đổi không rõ ràng,Không thay đổi theo vĩ độ,B,"Theo văn bản, nhiệt độ của lớp nước trên mặt biển và đại dương (đến độ sâu 200 m) thay đổi theo vĩ độ, càng lên vĩ độ cao nhiệt độ càng giảm dần.","Nhiệt độ của lớp nước trên mặt biển và đại dương (đến độ sâu 200 m) thay đổi theo vĩ độ. Nhiệt độ nước biển từ 25 °C đến 30 °C ở vùng nhiệt đới, càng lên vĩ độ cao nhiệt độ càng giảm dần.",172,page_172_01,hard,understand
Độ mặn (độ muối) của đại dương trung bình là bao nhiêu?,30 ‰,40 ‰,25 ‰,35 ‰,D,Độ mặn của đại dương trung bình là 35 ‰.,i (độ mặn) của đại dương thế giới trung bình là 35 ‰,172,page_172_02,easy,remember
Biển Đen (Hắc Hải) có độ muối bao nhiêu?,17 ‰,28 ‰,35 ‰,41 ‰,A,Độ muối của Biển Đen (Hắc Hải) từ 17 ‰ đến 22 ‰.,"Biển Đen (Hắc Hải) là một biển ôn đới, lại ăn sâu vào lục địa. Ở đây có độ muối từ 17 ‰ đến 22 ‰",172,page_172_02,medium,remember
Tại sao Biển Đỏ (Hồng Hải) có độ mặn cao hơn so với Biển Đen?,Vì ít mưa hơn,Vì ở vùng ôn đới,Vì ăn sâu vào lục địa,Vì nhiệt đới nóng hơn,D,"Biển Đỏ (Hồng Hải) là một biển nhiệt đới, nơi độ muối thường cao hơn.",Biển Đỏ (Hồng Hải) là một biển nhiệt đới. Ở đây độ muối lên tới 41 ‰,172,page_172_02,medium,understand
Tại sao không thể dùng nước biển làm nước uống?,Nước biển có mùi khó chịu,Nước biển không đủ sạch,Nước biển quá lạnh,Nước biển chứa nhiều muối,D,Không thể dùng nước biển làm nước uống vì nó chứa nhiều muối.,Muối trong nước biển chủ yếu là muối ăn. Không thể dùng nước biển làm nước uống.,172,page_172_02,easy,remember
Nước biển chuyển động theo cách nào khi nhìn từ xa?,Theo chiều thẳng đứng,Đi lên xuống không định hướng,Theo chiều ngang,Theo dòng chảy mạnh,C,"Sóng biển là sự dao động tại chỗ của nước biển theo chiều thẳng đứng, nhưng nhìn từ xa ta có cảm giác sóng chuyển động theo chiều ngang.","Khi nhìn sóng biển, chúng ta đều có cảm giác là sóng chuyển động theo chiều ngang nhưng thực chất sóng biển là sự dao động tại chỗ của nước biển theo chiều thẳng đứng.",173,page_173_01,easy,understand
Động đất ở đâu đã gây ra sóng thần nghiêm trọng năm 2011?,Hà Lan,Trung Quốc,Ấn Độ Dương,Ngoại khơi Nhật Bản,D,Động đất và sóng thần ở ngoài khơi Nhật Bản năm 2011 đã gây ra sự cố Nhà máy Điện nguyên tử Fukushima.,- Động đất và sóng thần ở ngoài khơi Nhật Bản năm 2011 đã gây ra sự cố Nhà máy Điện nguyên tử Fukushima.,173,page_173_01,medium,remember
Thuỷ triều lên cao nhất vào ngày nào?,Không trăng,Trăng bán nguyệt cuối tháng,Trăng tròn,Trăng bán nguyệt đầu tháng,C,"Vào ngày trăng tròn hay vào ngày không trăng, triều lên cao nhất và xuống thấp nhất, đó là ngày triều cường.","Vào ngày trăng tròn hay vào ngày không trăng, triều lên cao nhất và xuống thấp nhất, đó là ngày triều cường.",173,page_173_01,easy,remember
"Ở nước ta, sóng biển cao bao nhiêu khi có gió mùa đông bắc?","1,5-3m",1-2m,5-6m,3-4m,A,"Ở nước ta, khi có gió mùa đông bắc, sóng cao từ 1,5 m đến 3 m hoặc hơn nữa.","Ở nước ta, khi có gió mùa đông bắc, sóng cao từ 1,5 m đến 3 m hoặc hơn nữa.",173,page_173_01,medium,remember
"Trên lược đồ trống, em cần điền tên bốn đại dương chính nào?","Thái Bình Dương, Đại Tây Dương, Ấn Độ Dương, Nam Cực","Nam Cực, Đại Tây Dương, Thái Bình Dương, Ấn Độ Dương","Biển Bắc, Biển Đông, Thái Bình Dương, Ấn Độ Dương","Đại Tây Dương, Thái Bình Dương, Biển Bắc, Biển Đông",A,"Trong CONTEXT đã nêu rõ bốn đại dương chính là Thái Bình Dương, Đại Tây Dương, Ấn Độ Dương và Nam Cực.",Nội dung thực hành 1. Hãy điền tên bốn đại dương chính trên thế giới vào lược đồ trống đã chuẩn bị.,175,page_175_01,easy,remember
"Trên lược đồ trống, đại dương nào nằm ở vị trí phía nam của Đại Tây Dương?",Biển Bắc,Nam Cực,Ấn Độ Dương,Thái Bình Dương,C,"Trong CONTEXT, có đề cập đến vị trí tương đối của các đại dương.",<center>Hình 20.1. Lược đồ trống các lục địa và đại dương thế giới</center>,175,page_175_01,easy,remember
"Theo đoạn văn, giun đất có tác dụng gì đối với đất?",Phân giải chất hữu cơ,Tạo lớp phủ thực vật,Giúp tăng độ phì,Tăng lượng nước,C,Giun đất làm cho đất tơi xốp và làm tăng độ phì của đất.,Giun đất có nhiều ở những đất chứa nhiều mùn. Giun đất làm cho đất tơi xốp và làm tăng độ phì của đất.,176,page_176_01,medium,apply
"Theo đoạn văn, lớp đất trên Trái Đất có độ dày như thế nào?",Khoảng 10 m,Từ vài xăng-ti-mét đến 2 – 3 m,Dưới 1 m,Trên 5 m,B,"Độ dày lớp đất trên Trái Đất từ vài xăng-ti-mét như ở vùng đồng rêu gần Bắc Cực, cho đến khoảng 2 – 3 m ở vùng nhiệt đới nóng ẩm.","Bên trên đất thường có lớp phủ thực vật. Đất có độ phì tự nhiên. Lớp đất trên Trái Đất tuy mỏng nhưng nếu không có đất thì điều gì sẽ xảy ra? Lớp đất trên Trái Đất Đất Đất là một lớp vật chất mỏng trên cùng của vỏ Trái Đất, có độ dày chỉ từ vài xăng-ti-mét như ở vùng đồng rêu gần Bắc Cực, cho đến khoảng 2 – 3 m ở vùng nhiệt đới nóng ẩm.",176,page_176_01,easy,remember
"Theo đoạn văn, giun đất sống nhiều ở loại đất nào?",Đất giàu khoáng vật,Đất chứa nhiều mùn,Đất khô,Đất đá cứng,B,Giun đất có nhiều ở những đất chứa nhiều mùn.,Giun đất có nhiều ở những đất chứa nhiều mùn. Giun đất làm cho đất tơi xốp và làm tăng độ phì của đất. Giun đất còn có thể làm thức ăn cho gia cầm.,176,page_176_01,hard,analyze
"Theo đoạn văn, đá mẹ đóng vai trò quan trọng như thế nào trong quá trình hình thành đất?",Tạo ra không khí trong đất,Cung cấp các khoáng vật cho đất,Cung cấp nước cho cây,Đảm bảo độ ẩm của đất,B,"Đá mẹ cung cấp các khoáng vật cho đất, tạo nên các tính chất vật lý, hóa học của đất.","Trong đó quan trọng nhất là đá mẹ, khí hậu và sinh vật. Đá mẹ có vai trò rất quan trọng trong việc hình thành đất, vì tất cả các loại đất đều được hình thành từ những sản phẩm phong hoá đá mẹ. Đá mẹ cung cấp các khoáng vật cho đất, tạo nên các tính chất vật lí, hoá học của đất.",177,page_177_01,easy,understand
